Query,Genus/Species,Nucleotide_acc,Protein_acc,start,end,dir,PfamID1,Name1,Description1,E-value1,PfamID2,Name2,Description2,E-value2,PfamID3,Name3,Description3,E-value3,,,,,,,,
WP_079318274.1,Prochlorococcus sp. HOT208_60m_813O14,NZ_MWOO01000157.1,WP_079318268.1,15376,15694,+,PF00535,Glycos_transf_2,Glycosyl transferase family 2,2.60E-13,,,,,,,,,,,,,,,,
WP_079318274.1,Prochlorococcus sp. HOT208_60m_813O14,NZ_MWOO01000157.1,WP_079318270.1,15701,16208,+,,,,,,,,,,,,,,,,,,,,
WP_079318274.1,Prochlorococcus sp. HOT208_60m_813O14,NZ_MWOO01000157.1,WP_158078873.1,16358,17102,+,PF13489,Methyltransf_23,Methyltransferase domain,2.10E-07,PF08241,Methyltransf_11,Methyltransferase domain,1.70E-06,PF13847,Methyltransf_31,Methyltransferase domain,0.00011,PF08242,Methyltransf_12,Methyltransferase domain,0.00023,,,,
WP_079318274.1,Prochlorococcus sp. HOT208_60m_813O14,NZ_MWOO01000157.1,WP_079318274.1,18157,17431,-,PF05050,Methyltransf_21,Methyltransferase FkbM domain,6.60E-18,,,,,,,,,,,,,,,,
WP_079318274.1,Prochlorococcus sp. HOT208_60m_813O14,NZ_MWOO01000157.1,WP_079318276.1,18545,18785,+,,,,,,,,,,,,,,,,,,,,
WP_079318274.1,Prochlorococcus sp. HOT208_60m_813O14,NZ_MWOO01000157.1,WP_198930213.1,19010,19820,+,,,,,,,,,,,,,,,,,,,,
QNH56710.1,Limnospira sp. BM,CP060212.1,QNH56705.1,4757066,4756118,-,PF01039,Carboxyl_trans,Carboxyl transferase domain,2.00E-17,PF17848,zf-ACC,Acetyl-coA carboxylase zinc finger domain,1.50E-11,,,,,,,,,,,,
QNH56710.1,Limnospira sp. BM,CP060212.1,QNH56706.1,4757333,4757105,-,PF09413,DUF2007,Putative prokaryotic signal transducing protein,1.50E-05,,,,,,,,,,,,,,,,
QNH56710.1,Limnospira sp. BM,CP060212.1,QNH56707.1,4758191,4757375,-,PF06750,DiS_P_DiS,Bacterial Peptidase A24 N-terminal domain,8.70E-34,PF01478,Peptidase_A24,Type IV leader peptidase family,3.80E-19,,,,,,,,,,,,
QNH56710.1,Limnospira sp. BM,CP060212.1,QNH56708.1,4758559,4758241,-,,,,,,,,,,,,,,,,,,,,
QNH56710.1,Limnospira sp. BM,CP060212.1,QNH56709.1,4758637,4759420,+,,,,,,,,,,,,,,,,,,,,
QNH56710.1,Limnospira sp. BM,CP060212.1,QNH56710.1,4759657,4761847,+,PF05050,Methyltransf_21,Methyltransferase FkbM domain,1.50E-13,PF08317,Spc7,Spc7 kinetochore protein,4.10E-13,PF19220,Crescentin,Crescentin protein,9.60E-08,PF05335,DUF745,Protein of unknown function (DUF745),1.70E-05,PF07926,TPR_MLP1_2,TPR/MLP1/MLP2-like protein,0.00011
QNH56710.1,Limnospira sp. BM,CP060212.1,QNH56711.1,4761976,4763758,+,PF00535,Glycos_transf_2,Glycosyl transferase family 2,2.20E-23,PF13641,Glyco_tranf_2_3,Glycosyltransferase like family 2,5.80E-10,PF10111,Glyco_tranf_2_2,Glycosyltransferase like family 2,4.90E-06,,,,,,,,
QNH56710.1,Limnospira sp. BM,CP060212.1,QNH56712.1,4766699,4764731,-,PF00501,AMP-binding,AMP-binding enzyme,1.10E-100,PF13193,AMP-binding_C,AMP-binding enzyme C-terminal domain,5.90E-29,PF16177,ACAS_N,Acetyl-coenzyme A synthetase N-terminus,1.30E-23,,,,,,,,
QNH56710.1,Limnospira sp. BM,CP060212.1,QNH56713.1,4766857,4767337,+,PF00583,Acetyltransf_1,Acetyltransferase (GNAT) family,1.10E-18,PF13673,Acetyltransf_10,Acetyltransferase (GNAT) domain,5.50E-13,PF13508,Acetyltransf_7,Acetyltransferase (GNAT) domain,1.80E-11,PF08445,FR47,FR47-like protein,0.00011,PF13302,Acetyltransf_3,Acetyltransferase (GNAT) domain,0.00056
QNH56710.1,Limnospira sp. BM,CP060212.1,WP_006617422.1,4767559,4769328,+,,,,,,,,,,,,,,,,,,,,
QNH56710.1,Limnospira sp. BM,CP060212.1,WP_017749102.1,4769502,4770108,+,,,,,,,,,,,,,,,,,,,,
WP_124147327.1,Okeania hirsuta,NZ_RCBY01000053.1,WP_124147331.1,30796,29599,-,PF00162,PGK,Phosphoglycerate kinase,2.30E-162,,,,,,,,,,,,,,,,
WP_124147327.1,Okeania hirsuta,NZ_RCBY01000053.1,WP_124147330.1,30933,31344,+,PF00582,Usp,Universal stress protein family,1.70E-28,,,,,,,,,,,,,,,,
WP_124147327.1,Okeania hirsuta,NZ_RCBY01000053.1,WP_124147329.1,33366,31659,-,PF00916,Sulfate_transp,Sulfate permease family,1.70E-87,PF01740,STAS,STAS domain,3.20E-10,PF16983,MFS_MOT1,Molybdate transporter of MFS superfamily,0.00013,,,,,,,,
WP_124147327.1,Okeania hirsuta,NZ_RCBY01000053.1,WP_002791115.1,33737,34940,+,,,,,,,,,,,,,,,,,,,,
WP_124147327.1,Okeania hirsuta,NZ_RCBY01000053.1,WP_124147328.1,35169,36030,+,PF01926,MMR_HSR1,50S ribosome-binding GTPase,4.30E-16,PF02421,FeoB_N,Ferrous iron transport protein B,1.20E-06,PF04548,AIG1,AIG1 family,4.10E-05,PF03193,RsgA_GTPase,RsgA GTPase,0.00019,,,,
WP_124147327.1,Okeania hirsuta,NZ_RCBY01000053.1,WP_124147327.1,36455,37112,+,PF05050,Methyltransf_21,Methyltransferase FkbM domain,3.20E-18,,,,,,,,,,,,,,,,
WP_124147327.1,Okeania hirsuta,NZ_RCBY01000053.1,WP_124147326.1,37544,38438,+,,,,,,,,,,,,,,,,,,,,
WP_149229040.1,Azospirillum sp. B21,NZ_VTTO01000037.1,WP_149229035.1,5830,2986,-,PF00133,tRNA-synt_1,"tRNA synthetases class I (I, L, M and V)",3.30E-196,PF09334,tRNA-synt_1g,tRNA synthetases class I (M),1.30E-24,PF08264,Anticodon_1,Anticodon-binding domain of tRNA ligase,3.20E-22,PF01406,tRNA-synt_1e,tRNA synthetases class I (C) catalytic domain,9.00E-11,PF01921,tRNA-synt_1f,tRNA synthetases class I (K),2.60E-06
WP_149229040.1,Azospirillum sp. B21,NZ_VTTO01000037.1,WP_149229036.1,6181,7159,+,PF18025,FucT_N,"Alpha-(1,3)-fucosyltransferase FucT N-terminal domain",8.20E-32,PF00852,Glyco_transf_10,Glycosyltransferase family 10 (fucosyltransferase) C-term,3.50E-15,,,,,,,,,,,,
WP_149229040.1,Azospirillum sp. B21,NZ_VTTO01000037.1,WP_149229037.1,7183,7906,+,,,,,,,,,,,,,,,,,,,,
WP_149229040.1,Azospirillum sp. B21,NZ_VTTO01000037.1,WP_149229038.1,7970,10601,+,PF13844,Glyco_transf_41,Glycosyl transferase family 41,4.90E-86,PF07719,TPR_2,Tetratricopeptide repeat,2.70E-43,PF00515,TPR_1,Tetratricopeptide repeat,1.80E-36,PF13414,TPR_11,TPR repeat,9.30E-33,PF13432,TPR_16,Tetratricopeptide repeat,2.20E-31
WP_149229040.1,Azospirillum sp. B21,NZ_VTTO01000037.1,WP_149229039.1,10597,11401,+,PF13733,Glyco_transf_7N,N-terminal region of glycosyl transferase group 7,1.50E-15,PF02709,Glyco_transf_7C,N-terminal domain of galactosyltransferase,5.70E-12,,,,,,,,,,,,
WP_149229040.1,Azospirillum sp. B21,NZ_VTTO01000037.1,WP_149229040.1,11501,12599,+,PF05050,Methyltransf_21,Methyltransferase FkbM domain,2.00E-15,,,,,,,,,,,,,,,,
WP_149229040.1,Azospirillum sp. B21,NZ_VTTO01000037.1,WP_014247028.1,13329,12645,-,PF00156,Pribosyltran,Phosphoribosyl transferase domain,6.90E-13,,,,,,,,,,,,,,,,
WP_149229040.1,Azospirillum sp. B21,NZ_VTTO01000037.1,WP_149229043.1,13947,13461,-,PF01814,Hemerythrin,Hemerythrin HHE cation binding domain,5.80E-07,,,,,,,,,,,,,,,,
WP_149229040.1,Azospirillum sp. B21,NZ_VTTO01000037.1,WP_149229041.1,15852,14145,-,PF00015,MCPsignal,Methyl-accepting chemotaxis protein (MCP) signalling domain,8.40E-33,PF12729,4HB_MCP_1,Four helix bundle sensory module for signal transduction,1.70E-15,PF00672,HAMP,HAMP domain,5.70E-11,PF02203,TarH,Tar ligand binding domain homologue,1.20E-06,PF06103,DUF948,Bacterial protein of unknown function (DUF948),0.00012
WP_149229040.1,Azospirillum sp. B21,NZ_VTTO01000037.1,WP_149229042.1,16057,17710,+,PF00450,Peptidase_S10,Serine carboxypeptidase,5.20E-21,PF12146,Hydrolase_4,"Serine aminopeptidase, S33",2.30E-05,,,,,,,,,,,,
WP_149229040.1,Azospirillum sp. B21,NZ_VTTO01000037.1,WP_014247032.1,17813,18472,+,,,,,,,,,,,,,,,,,,,,
WP_088599333.1,Achromobacter sp. HZ34,NZ_NJIX01000003.1,WP_088599330.1,839563,838639,-,,,,,,,,,,,,,,,,,,,,
WP_088599333.1,Achromobacter sp. HZ34,NZ_NJIX01000003.1,WP_198952786.1,840222,839559,-,PF00132,Hexapep,Bacterial transferase hexapeptide (six repeats),5.70E-19,PF14602,Hexapep_2,Hexapeptide repeat of succinyl-transferase,6.70E-08,PF17836,PglD_N,PglD N-terminal domain,0.0003,,,,,,,,
WP_088599333.1,Achromobacter sp. HZ34,NZ_NJIX01000003.1,WP_088599332.1,840857,840224,-,PF13649,Methyltransf_25,Methyltransferase domain,4.00E-09,PF08241,Methyltransf_11,Methyltransferase domain,2.50E-07,PF08242,Methyltransf_12,Methyltransferase domain,3.90E-07,PF13847,Methyltransf_31,Methyltransferase domain,3.40E-06,PF13489,Methyltransf_23,Methyltransferase domain,4.70E-06
WP_088599333.1,Achromobacter sp. HZ34,NZ_NJIX01000003.1,WP_198952807.1,841734,840957,-,PF08889,WbqC,WbqC-like protein family,2.10E-81,,,,,,,,,,,,,,,,
WP_088599333.1,Achromobacter sp. HZ34,NZ_NJIX01000003.1,WP_143220461.1,842321,843089,+,,,,,,,,,,,,,,,,,,,,
WP_088599333.1,Achromobacter sp. HZ34,NZ_NJIX01000003.1,WP_088599333.1,843085,843787,+,PF05050,Methyltransf_21,Methyltransferase FkbM domain,1.00E-14,,,,,,,,,,,,,,,,
WP_088599333.1,Achromobacter sp. HZ34,NZ_NJIX01000003.1,WP_088599334.1,843728,844736,+,PF00535,Glycos_transf_2,Glycosyl transferase family 2,5.60E-29,PF10111,Glyco_tranf_2_2,Glycosyltransferase like family 2,6.60E-06,PF13641,Glyco_tranf_2_3,Glycosyltransferase like family 2,0.0002,,,,,,,,
WP_088599333.1,Achromobacter sp. HZ34,NZ_NJIX01000003.1,WP_088599335.1,845052,846210,+,PF13469,Sulfotransfer_3,Sulfotransferase family,0.00016,,,,,,,,,,,,,,,,
WP_088599333.1,Achromobacter sp. HZ34,NZ_NJIX01000003.1,WP_198952787.1,846206,847862,+,,,,,,,,,,,,,,,,,,,,
WP_088599333.1,Achromobacter sp. HZ34,NZ_NJIX01000003.1,WP_088599336.1,847858,849133,+,,,,,,,,,,,,,,,,,,,,
WP_088599333.1,Achromobacter sp. HZ34,NZ_NJIX01000003.1,WP_143220463.1,849355,850645,+,,,,,,,,,,,,,,,,,,,,
QLH38216.1,Defluviicoccus sp.,CP058705.1,QLH38213.1,699752,702629,+,PF00005,ABC_tran,ABC transporter,6.10E-32,PF00664,ABC_membrane,ABC transporter transmembrane region,9.40E-21,PF02463,SMC_N,RecF/RecN/SMC N terminal domain,8.60E-07,,,,,,,,
QLH38216.1,Defluviicoccus sp.,CP058705.1,QLH38214.1,702790,703048,+,PF02979,NHase_alpha,"Nitrile hydratase, alpha chain",8.60E-09,,,,,,,,,,,,,,,,
QLH38216.1,Defluviicoccus sp.,CP058705.1,WP_076612078.1,703097,704326,+,,,,,,,,,,,,,,,,,,,,
QLH38216.1,Defluviicoccus sp.,CP058705.1,WP_018751015.1,704876,705235,+,,,,,,,,,,,,,,,,,,,,
QLH38216.1,Defluviicoccus sp.,CP058705.1,QLH38215.1,705481,706027,+,PF05118,Asp_Arg_Hydrox,Aspartyl/Asparaginyl beta-hydroxylase,3.00E-32,,,,,,,,,,,,,,,,
QLH38216.1,Defluviicoccus sp.,CP058705.1,QLH38216.1,706368,706023,-,PF05050,Methyltransf_21,Methyltransferase FkbM domain,4.60E-10,,,,,,,,,,,,,,,,
QLH38216.1,Defluviicoccus sp.,CP058705.1,QLH38217.1,708160,706471,-,,,,,,,,,,,,,,,,,,,,
QLH38216.1,Defluviicoccus sp.,CP058705.1,QLH38218.1,709493,708371,-,PF00561,Abhydrolase_1,alpha/beta hydrolase fold,4.60E-26,,,,,,,,,,,,,,,,
QLH38216.1,Defluviicoccus sp.,CP058705.1,QLH40896.1,711599,709574,-,PF04055,Radical_SAM,Radical SAM superfamily,2.30E-16,PF02310,B12-binding,B12 binding domain,1.70E-05,,,,,,,,,,,,
QLH38216.1,Defluviicoccus sp.,CP058705.1,QLH38219.1,713642,711635,-,PF04055,Radical_SAM,Radical SAM superfamily,7.70E-16,PF02310,B12-binding,B12 binding domain,9.30E-06,,,,,,,,,,,,
QLH38216.1,Defluviicoccus sp.,CP058705.1,QLH38220.1,715110,713685,-,PF02321,OEP,Outer membrane efflux protein,8.00E-48,,,,,,,,,,,,,,,,
WP_179848692.1,Actinomadura luteofluorescens,NZ_JACCBA010000001.1,WP_179848687.1,9143120,9143609,+,PF13405,EF-hand_6,EF-hand domain,3.90E-09,PF13499,EF-hand_7,EF-hand domain pair,8.20E-09,PF13833,EF-hand_8,EF-hand domain pair,1.00E-08,PF13202,EF-hand_5,EF hand,5.20E-08,PF00036,EF-hand_1,EF hand,8.10E-08
WP_179848692.1,Actinomadura luteofluorescens,NZ_JACCBA010000001.1,WP_179848688.1,9143718,9144555,+,PF01061,ABC2_membrane,ABC-2 type transporter,6.30E-25,PF12698,ABC2_membrane_3,ABC-2 family transporter protein,2.70E-13,,,,,,,,,,,,
WP_179848692.1,Actinomadura luteofluorescens,NZ_JACCBA010000001.1,WP_179848689.1,9144670,9145591,+,PF00797,Acetyltransf_2,N-acetyltransferase,2.10E-35,,,,,,,,,,,,,,,,
WP_179848692.1,Actinomadura luteofluorescens,NZ_JACCBA010000001.1,WP_179848690.1,9146680,9145624,-,PF00483,NTP_transferase,Nucleotidyl transferase,9.30E-45,PF12804,NTP_transf_3,MobA-like NTP transferase domain,6.20E-08,PF07959,Fucokinase,L-fucokinase,2.20E-06,PF00132,Hexapep,Bacterial transferase hexapeptide (six repeats),4.30E-05,,,,
WP_179848692.1,Actinomadura luteofluorescens,NZ_JACCBA010000001.1,WP_179848691.1,9147285,9146676,-,PF00908,dTDP_sugar_isom,"dTDP-4-dehydrorhamnose 3,5-epimerase",6.60E-47,PF00190,Cupin_1,Cupin,0.00087,,,,,,,,,,,,
WP_179848692.1,Actinomadura luteofluorescens,NZ_JACCBA010000001.1,WP_179848692.1,9148058,9147323,-,PF05050,Methyltransf_21,Methyltransferase FkbM domain,1.20E-06,,,,,,,,,,,,,,,,
WP_179848692.1,Actinomadura luteofluorescens,NZ_JACCBA010000001.1,WP_179848693.1,9148223,9149726,+,PF04055,Radical_SAM,Radical SAM superfamily,4.20E-15,PF02310,B12-binding,B12 binding domain,4.00E-07,,,,,,,,,,,,
WP_179848692.1,Actinomadura luteofluorescens,NZ_JACCBA010000001.1,WP_179848694.1,9149878,9150529,+,PF01638,HxlR,HxlR-like helix-turn-helix,1.50E-17,PF02036,SCP2,SCP-2 sterol transfer family,3.60E-07,,,,,,,,,,,,
WP_179848692.1,Actinomadura luteofluorescens,NZ_JACCBA010000001.1,WP_179848695.1,9150910,9151642,+,,,,,,,,,,,,,,,,,,,,
WP_179848692.1,Actinomadura luteofluorescens,NZ_JACCBA010000001.1,WP_179848696.1,9151644,9152928,+,PF03109,ABC1,ABC1 family,2.90E-17,,,,,,,,,,,,,,,,
WP_179848692.1,Actinomadura luteofluorescens,NZ_JACCBA010000001.1,WP_179848697.1,9153572,9153923,+,PF13340,DUF4096,Putative transposase of IS4/5 family (DUF4096),8.60E-24,,,,,,,,,,,,,,,,
WP_011476885.1,Rickettsia bellii RML369-C,NC_007940.1,WP_011476880.1,218011,218977,+,PF02606,LpxK,Tetraacyldisaccharide-1-P 4'-kinase,7.10E-68,,,,,,,,,,,,,,,,
WP_011476885.1,Rickettsia bellii RML369-C,NC_007940.1,WP_011476881.1,218951,219827,+,PF03279,Lip_A_acyltrans,Bacterial lipid A biosynthesis acyltransferase,1.50E-83,,,,,,,,,,,,,,,,
WP_011476885.1,Rickettsia bellii RML369-C,NC_007940.1,WP_011476882.1,222273,220047,-,PF13424,TPR_12,Tetratricopeptide repeat,1.20E-12,PF00515,TPR_1,Tetratricopeptide repeat,6.50E-07,PF07719,TPR_2,Tetratricopeptide repeat,3.50E-05,PF13181,TPR_8,Tetratricopeptide repeat,9.50E-05,PF14559,TPR_19,Tetratricopeptide repeat,9.50E-05
WP_011476885.1,Rickettsia bellii RML369-C,NC_007940.1,WP_011476883.1,223231,222376,-,PF01551,Peptidase_M23,Peptidase family M23,2.70E-30,,,,,,,,,,,,,,,,
WP_011476885.1,Rickettsia bellii RML369-C,NC_007940.1,WP_011476884.1,224019,223230,-,PF04378,RsmJ,"Ribosomal RNA large subunit methyltransferase D, RlmJ",3.10E-51,PF03602,Cons_hypoth95,Conserved hypothetical protein 95,0.00017,,,,,,,,,,,,
WP_011476885.1,Rickettsia bellii RML369-C,NC_007940.1,WP_011476885.1,224191,224914,+,PF05050,Methyltransf_21,Methyltransferase FkbM domain,7.30E-15,,,,,,,,,,,,,,,,
WP_011476885.1,Rickettsia bellii RML369-C,NC_007940.1,WP_012152194.1,225352,226696,+,,,,,,,,,,,,,,,,,,,,
WP_011476885.1,Rickettsia bellii RML369-C,NC_007940.1,WP_011476887.1,227725,227251,-,PF13310,Virulence_RhuM,Virulence protein RhuM family,4.30E-26,,,,,,,,,,,,,,,,
WP_011476885.1,Rickettsia bellii RML369-C,NC_007940.1,WP_011476888.1,229801,227731,-,PF01653,DNA_ligase_aden,NAD-dependent DNA ligase adenylation domain,4.20E-118,PF03120,DNA_ligase_OB,NAD-dependent DNA ligase OB-fold domain,1.10E-34,PF12826,HHH_2,Helix-hairpin-helix motif,3.90E-13,PF00533,BRCT,BRCA1 C Terminus (BRCT) domain,8.10E-13,PF03119,DNA_ligase_ZBD,NAD-dependent DNA ligase C4 zinc finger domain,3.30E-07
WP_011476885.1,Rickettsia bellii RML369-C,NC_007940.1,WP_012152190.1,230194,229960,-,,,,,,,,,,,,,,,,,,,,
WP_011476885.1,Rickettsia bellii RML369-C,NC_007940.1,WP_017442610.1,230220,231077,+,,,,,,,,,,,,,,,,,,,,
WP_198266397.1,sulfur-oxidizing endosymbiont of Gigantopelta aegis Bacteria.,NZ_JAEHGE010000003.1,WP_198266392.1,25862,24695,-,PF01041,DegT_DnrJ_EryC1,DegT/DnrJ/EryC1/StrS aminotransferase family,2.40E-123,PF00266,Aminotran_5,Aminotransferase class-V,4.30E-05,,,,,,,,,,,,
WP_198266397.1,sulfur-oxidizing endosymbiont of Gigantopelta aegis Bacteria.,NZ_JAEHGE010000003.1,WP_198266393.1,27085,25858,-,PF08484,Methyltransf_14,C-methyltransferase C-terminal domain,5.50E-60,PF08421,Methyltransf_13,Putative zinc binding domain,6.10E-22,PF13489,Methyltransf_23,Methyltransferase domain,7.40E-14,PF08242,Methyltransf_12,Methyltransferase domain,6.50E-08,PF08241,Methyltransf_11,Methyltransferase domain,2.90E-05
WP_198266397.1,sulfur-oxidizing endosymbiont of Gigantopelta aegis Bacteria.,NZ_JAEHGE010000003.1,WP_198266394.1,27648,27081,-,PF00908,dTDP_sugar_isom,"dTDP-4-dehydrorhamnose 3,5-epimerase",7.60E-60,PF05523,FdtA,"WxcM-like, C-terminal",0.0005,,,,,,,,,,,,
WP_198266397.1,sulfur-oxidizing endosymbiont of Gigantopelta aegis Bacteria.,NZ_JAEHGE010000003.1,WP_198266395.1,28715,27644,-,PF16363,GDP_Man_Dehyd,"GDP-mannose 4,6 dehydratase",6.50E-35,PF01370,Epimerase,NAD dependent epimerase/dehydratase family,7.70E-26,PF02719,Polysacc_synt_2,Polysaccharide biosynthesis protein,1.30E-10,PF01073,3Beta_HSD,3-beta hydroxysteroid dehydrogenase/isomerase family,4.90E-06,PF07993,NAD_binding_4,Male sterility protein,9.50E-06
WP_198266397.1,sulfur-oxidizing endosymbiont of Gigantopelta aegis Bacteria.,NZ_JAEHGE010000003.1,WP_198266396.1,29479,28711,-,PF00483,NTP_transferase,Nucleotidyl transferase,2.80E-18,PF12804,NTP_transf_3,MobA-like NTP transferase domain,3.20E-07,,,,,,,,,,,,
WP_198266397.1,sulfur-oxidizing endosymbiont of Gigantopelta aegis Bacteria.,NZ_JAEHGE010000003.1,WP_198266397.1,30195,29535,-,PF05050,Methyltransf_21,Methyltransferase FkbM domain,1.40E-15,,,,,,,,,,,,,,,,
WP_198266397.1,sulfur-oxidizing endosymbiont of Gigantopelta aegis Bacteria.,NZ_JAEHGE010000003.1,WP_198266398.1,31012,30223,-,PF00535,Glycos_transf_2,Glycosyl transferase family 2,5.30E-19,PF13641,Glyco_tranf_2_3,Glycosyltransferase like family 2,2.30E-11,,,,,,,,,,,,
WP_198266397.1,sulfur-oxidizing endosymbiont of Gigantopelta aegis Bacteria.,NZ_JAEHGE010000003.1,WP_013816942.1,31030,32848,+,,,,,,,,,,,,,,,,,,,,
WP_198266397.1,sulfur-oxidizing endosymbiont of Gigantopelta aegis Bacteria.,NZ_JAEHGE010000003.1,WP_198266399.1,41318,33023,-,PF15335,CAAP1,Caspase activity and apoptosis inhibitor 1,3.50E-42,PF13413,HTH_25,Helix-turn-helix domain,4.80E-10,PF12466,GDH_N,Glutamate dehydrogenase N terminal,8.40E-07,PF04096,Nucleoporin2,Nucleoporin autopeptidase,3.80E-05,,,,
WP_198266397.1,sulfur-oxidizing endosymbiont of Gigantopelta aegis Bacteria.,NZ_JAEHGE010000003.1,WP_198266592.1,42347,41834,-,PF16363,GDP_Man_Dehyd,"GDP-mannose 4,6 dehydratase",1.60E-42,PF01370,Epimerase,NAD dependent epimerase/dehydratase family,1.00E-12,,,,,,,,,,,,
WP_198266397.1,sulfur-oxidizing endosymbiont of Gigantopelta aegis Bacteria.,NZ_JAEHGE010000003.1,WP_198263504.1,43863,42333,-,PF03050,DDE_Tnp_IS66,Transposase IS66 family,5.30E-94,PF13005,zf-IS66,zinc-finger binding domain of transposase IS66,1.00E-15,PF13817,DDE_Tnp_IS66_C,IS66 C-terminal element,2.60E-13,PF13007,LZ_Tnp_IS66,Transposase C of IS166 homeodomain,5.20E-13,,,,
WP_162488112.1,Azospirillum lipoferum 4B,NC_016622.1,WP_014247022.1,568039,565207,-,PF00133,tRNA-synt_1,"tRNA synthetases class I (I, L, M and V)",4.40E-196,PF09334,tRNA-synt_1g,tRNA synthetases class I (M),1.20E-24,PF08264,Anticodon_1,Anticodon-binding domain of tRNA ligase,3.00E-22,PF01406,tRNA-synt_1e,tRNA synthetases class I (C) catalytic domain,8.90E-11,PF06827,zf-FPG_IleRS,Zinc finger found in FPG and IleRS,5.20E-07
WP_162488112.1,Azospirillum lipoferum 4B,NC_016622.1,WP_014247023.1,568404,569382,+,PF18025,FucT_N,"Alpha-(1,3)-fucosyltransferase FucT N-terminal domain",3.00E-32,PF00852,Glyco_transf_10,Glycosyltransferase family 10 (fucosyltransferase) C-term,1.30E-14,,,,,,,,,,,,
WP_162488112.1,Azospirillum lipoferum 4B,NC_016622.1,WP_014247024.1,569428,570151,+,,,,,,,,,,,,,,,,,,,,
WP_162488112.1,Azospirillum lipoferum 4B,NC_016622.1,WP_014247025.1,570215,572849,+,PF13844,Glyco_transf_41,Glycosyl transferase family 41,1.70E-86,PF07719,TPR_2,Tetratricopeptide repeat,3.70E-41,PF00515,TPR_1,Tetratricopeptide repeat,3.40E-37,PF13414,TPR_11,TPR repeat,4.40E-35,PF13432,TPR_16,Tetratricopeptide repeat,6.90E-32
WP_162488112.1,Azospirillum lipoferum 4B,NC_016622.1,WP_014247026.1,572845,573649,+,PF13733,Glyco_transf_7N,N-terminal region of glycosyl transferase group 7,6.40E-16,PF02709,Glyco_transf_7C,N-terminal domain of galactosyltransferase,4.80E-12,,,,,,,,,,,,
WP_162488112.1,Azospirillum lipoferum 4B,NC_016622.1,WP_162488112.1,573731,574847,+,PF05050,Methyltransf_21,Methyltransferase FkbM domain,5.00E-15,,,,,,,,,,,,,,,,
WP_162488112.1,Azospirillum lipoferum 4B,NC_016622.1,WP_014247028.1,575575,574891,-,PF00156,Pribosyltran,Phosphoribosyl transferase domain,6.90E-13,,,,,,,,,,,,,,,,
WP_162488112.1,Azospirillum lipoferum 4B,NC_016622.1,WP_162488113.1,576183,575697,-,PF01814,Hemerythrin,Hemerythrin HHE cation binding domain,2.20E-06,,,,,,,,,,,,,,,,
WP_162488112.1,Azospirillum lipoferum 4B,NC_016622.1,WP_014247030.1,578064,576357,-,PF00015,MCPsignal,Methyl-accepting chemotaxis protein (MCP) signalling domain,3.20E-33,PF12729,4HB_MCP_1,Four helix bundle sensory module for signal transduction,1.20E-15,PF00672,HAMP,HAMP domain,2.10E-11,PF02203,TarH,Tar ligand binding domain homologue,6.90E-07,PF06103,DUF948,Bacterial protein of unknown function (DUF948),0.00017
WP_162488112.1,Azospirillum lipoferum 4B,NC_016622.1,WP_162488114.1,578340,579915,+,PF00450,Peptidase_S10,Serine carboxypeptidase,5.70E-21,PF12146,Hydrolase_4,"Serine aminopeptidase, S33",3.00E-05,,,,,,,,,,,,
WP_162488112.1,Azospirillum lipoferum 4B,NC_016622.1,WP_014247032.1,581877,580017,-,PF00669,Flagellin_N,Bacterial flagellin N-terminal helical region,1.10E-13,PF00700,Flagellin_C,Bacterial flagellin C-terminal helical region,1.30E-05,,,,,,,,,,,,
CBS85981.1,Azospirillum lipoferum 4B,FQ311868.1,CBS85976.1,568039,565207,-,PF00133,tRNA-synt_1,"tRNA synthetases class I (I, L, M and V)",4.40E-196,PF09334,tRNA-synt_1g,tRNA synthetases class I (M),1.20E-24,PF08264,Anticodon_1,Anticodon-binding domain of tRNA ligase,3.00E-22,PF01406,tRNA-synt_1e,tRNA synthetases class I (C) catalytic domain,8.90E-11,PF06827,zf-FPG_IleRS,Zinc finger found in FPG and IleRS,5.20E-07
CBS85981.1,Azospirillum lipoferum 4B,FQ311868.1,CBS85977.1,568404,569382,+,PF18025,FucT_N,"Alpha-(1,3)-fucosyltransferase FucT N-terminal domain",3.00E-32,PF00852,Glyco_transf_10,Glycosyltransferase family 10 (fucosyltransferase) C-term,1.30E-14,,,,,,,,,,,,
CBS85981.1,Azospirillum lipoferum 4B,FQ311868.1,CBS85978.1,569428,570151,+,,,,,,,,,,,,,,,,,,,,
CBS85981.1,Azospirillum lipoferum 4B,FQ311868.1,CBS85979.1,570215,572849,+,PF13844,Glyco_transf_41,Glycosyl transferase family 41,1.70E-86,PF07719,TPR_2,Tetratricopeptide repeat,3.70E-41,PF00515,TPR_1,Tetratricopeptide repeat,3.40E-37,PF13414,TPR_11,TPR repeat,4.40E-35,PF13432,TPR_16,Tetratricopeptide repeat,6.90E-32
CBS85981.1,Azospirillum lipoferum 4B,FQ311868.1,CBS85980.1,572845,573649,+,PF13733,Glyco_transf_7N,N-terminal region of glycosyl transferase group 7,6.40E-16,PF02709,Glyco_transf_7C,N-terminal domain of galactosyltransferase,4.80E-12,,,,,,,,,,,,
CBS85981.1,Azospirillum lipoferum 4B,FQ311868.1,CBS85981.1,573749,574847,+,PF05050,Methyltransf_21,Methyltransferase FkbM domain,5.00E-15,,,,,,,,,,,,,,,,
